Персонаж,Лема,Тональність
Балаш,поганий,-1.5
Балаш,одказувати,0.0
Балаш,справді,0.6
Балаш,здаватися,0.13
Балаш,луччий,0.0
Балаш,частувати,0.8
Балаш,тут,0.0
Балаш,жити,1.5
Балаш,далі,0.0
Балаш,вийти,0.5
Балаш,плакати,-1.38
Балаш,чоловік,1.63
Балаш,старостіти,0.0
Балаш,посідати,0.2
Балаш,сподіватися,0.75
Балаш,проморити,0.0
Балаш,підтиканий,0.0
Балаш,почастувати,0.0
Балашиха,послати,-0.8
Балашиха,зовсім,-0.4
Балашиха,застелити,0.0
Балашиха,одцідити,0.0
Балашиха,накраяти,0.0
Балашиха,вийти,0.5
Балашиха,промовити,1.0
Балашиха,бідний,-1.4
Балашиха,голосити,0.0
Балашиха,подумати,0.88
Балашиха,вернутися,0.0
Балашиха,бідкатися,0.0
Балашиха,тепер,0.4
Балашиха,попросити,0.25
Балашиха,сказати,0.88
Берко,грати,-1.2
Берко,платити,-0.13
Берко,зараз,0.5
Берко,знати,1.25
Берко,підлещуватися,0.0
Берко,гладити,0.8
Берко,приймати,0.75
Берко,дати,0.75
Довбиш,слухати,1.13
Довбиш,почастувати,0.0
Довбиш,сказати,0.88
Довбиш,налити,0.0
Довбиш,вискочити,0.0
Довбиш,стріти,0.0
Довбиш,учити,1.25
Довбиш,лаятися,0.0
Довбиш,іродовий,0.0
Довбиш,знов,0.0
Кайдаш,звечора,0.0
Кайдаш,гребти,0.0
Кайдаш,поратися,0.0
Кайдаш,думати,1.38
Кайдаш,чути,0.88
Кайдаш,загадати,0.0
Кайдаш,стривожитися,0.0
Кайдаш,перелякатися,0.0
Кайдаш,накинути,0.0
Кайдаш,впоратися,1.63
Кайдаш,як,0.0
Кайдаш,навколішки,0.0
Кайдаш,пропивати,0.0
Кайдаш,голодний,-1.4
Кайдаш,глянути,0.6
Кайдаш,надіти,0.4
Кайдаш,микатися,0.0
Кайдаш,показати,0.13
Кайдаш,ввійти,0.0
Кайдаш,надвечір,0.0
Кайдаш,розпрощатися,0.4
Кайдаш,обступити,0.0
Кайдаш,привітатися,0.0
Кайдаш,схотіти,0.0
Кайдаш,заснути,0.2
Кайдаш,устати,0.0
Кайдаш,балакати,1.0
Кайдаш,знов,0.0
Кайдаш,постарітися,0.0
Кайдаш,потягти,0.0
Кайдаш,поздоровкатися,0.0
Кайдаш,повертати,0.5
Кайдаш,приступати,0.2
Кайдаш,лежати,0.38
Кайдаш,дивитися,1.25
Кайдаш,закричати,0.0
Кайдаш,суворо,-0.8
Кайдаш,блідий,-0.4
Кайдаш,спитати,0.0
Кайдаш,почати,1.0
Кайдаш,підвестися,0.4
Кайдаш,постити,0.0
Кайдаш,ухопити,0.8
Кайдаш,повитріщати,0.0
Кайдаш,розсердитися,0.0
Кайдаш,спахнути,0.0
Кайдаш,побачити,1.25
Кайдаш,справити,0.6
Кайдаш,вижати,0.0
Кайдаш,дражливий,0.0
Кайдаш,розходитися,-0.13
Кайдаш,знову,-0.2
Кайдаш,стояти,0.38
Кайдаш,погнати,0.0
Кайдаш,переїхати,-0.13
Кайдаш,вести,0.5
Кайдаш,спереду,0.0
Кайдаш,їхати,1.0
Кайдаш,збиратися,0.75
Кайдаш,послати,-0.8
Кайдаш,раз,0.25
Кайдаш,вихилити,0.0
Кайдаш,закидати,0.0
Кайдаш,пам'ятати,1.25
Кайдаш,сердитий,0.0
Кайдаш,розуміти,1.13
Кайдаш,витріщити,0.0
Кайдаш,вбігти,0.0
Кайдаш,стати,0.25
Кайдаш,увійти,0.25
Кайдаш,вимовити,0.0
Кайдаш,прикупити,0.0
Кайдаш,злякатися,0.0
Кайдаш,сидіти,0.38
Кайдаш,встати,0.0
Кайдаш,подумати,0.88
Кайдаш,сісти,0.4
Кайдаш,промовити,1.0
Кайдаш,сказати,0.88
Кайдаш,говорити,1.0
Кайдаш,усе,0.0
Кайдаш,пити,0.38
Кайдаш,репетувати,0.0
Кайдаш,додому,1.5
Кайдаш,кричати,-1.5
Кайдаш,бідкатися,0.0
Кайдаш,поїхати,0.8
Кайдаш,вертатися,0.0
Кайдаш,покритий,0.0
Кайдаш,лягти,0.0
Кайдаш,тоді,0.0
Кайдаш,надворі,0.0
Кайдаш,провітритися,0.0
Кайдаш,махнути,-0.4
Кайдаш,молитися,0.8
Кайдаш,служати,0.0
Кайдаш,піти,-0.38
Кайдаш,стругати,0.0
Кайдаш,скочити,0.0
Кайдаш,їсти,1.63
Кайдаш,загомоніти,0.0
Кайдаш,плюнути,-1.4
Кайдаш,старий,-0.75
Кайдаш,набік,0.0
Кайдаш,сплюнути,0.0
Кайдаш,богомольний,0.0
Кайдаш,крикнути,-0.8
Кайдаш,покійний,0.0
Кайдаш,радити,0.88
Кайдаш,так,1.0
Кайдаш,обізватися,0.0
Кайдаш,все,0.8
Кайдаш,працювати,1.38
Кайдаш,кинути,-0.5
